katakana,voiced,yoon,foreign,kunrei,hepburn,simple-ipa
ア,有声,,,a,a,a
イ,有声,,,i,i,i
ウ,有声,,,u,u,u
エ,有声,,,e,e,e
オ,有声,,,o,o,o
カ,,,,ka,ka,ka
キ,,,,ki,ki,kji
ク,,,,ku,ku,ku
ケ,,,,ke,ke,ke
コ,,,,ko,ko,ko
ガ,濁,,,ga,ga,ga
ギ,濁,,,gi,gi,gji
グ,濁,,,gu,gu,gu
ゲ,濁,,,ge,ge,ge
ゴ,濁,,,go,go,go
キャ,,拗,,kya,kya,kja
キュ,,拗,,kyu,kyu,kju
キェ,,拗,True,kye,kye,kje
キョ,,拗,,kyo,kyo,kjo
ギャ,濁,拗,,gya,gya,gja
ギュ,濁,拗,,gyu,gyu,gju
ギェ,濁,拗,True,gye,gye,gje
ギョ,濁,拗,,gyo,gyo,gjo
クヮ,,合拗,True,ka,kwa,kwa
クァ,,合拗,True,kua,kwa,kwa
クィ,,合拗,True,kui,kwi,kwi
クェ,,合拗,True,kue,kwe,kwe
クォ,,合拗,True,kuo,kwo,kwo
グヮ,濁,合拗,True,ga,gwa,gwa
グァ,濁,合拗,True,gua,gwa,gwa
グィ,濁,合拗,True,gui,gwi,gwi
グェ,濁,合拗,True,gue,gwe,gwe
グォ,濁,合拗,True,guo,gwo,gwo
サ,,,,sa,sa,sa
シ,,,,si,shi,ɕi
ス,,,,su,su,su
セ,,,,se,se,se
ソ,,,,so,so,so
ザ,濁,,,za,za,za
ジ,濁,,,zi,ji,ʒi
ズ,濁,,,zu,zu,zu
ゼ,濁,,,ze,ze,ze
ゾ,濁,,,zo,zo,zo
スィ,,,True,tui,si,si
ズィ,濁,,True,zui,zi,zi
シャ,,拗,,sya,sha,ɕa
シュ,,拗,,syu,shu,ɕu
シェ,,拗,True,sye,she,ɕe
ショ,,拗,,syo,sho,ɕo
ジャ,濁,拗,,zya,ja,ʒa
ジュ,濁,拗,,zyu,ju,ʒu
ジェ,濁,拗,True,zye,je,ʒe
ジョ,濁,拗,,zyo,jo,ʒo
タ,,,,ta,ta,ta
チ,,,,ti,chi,tɕi
ツ,,,,tu,tsu,tsu
テ,,,,te,te,te
ト,,,,to,to,to
ダ,濁,,,da,da,da
ヂ,濁,,,di,zi,ʒi
ヅ,濁,,,du,zu,zu
デ,濁,,,de,de,de
ド,濁,,,do,do,do
トゥ,,,True,tou,tu,tu
ドゥ,濁,,True,dou,du,du
チャ,,拗,,tya,cha,tɕa
チュ,,拗,,tyu,chu,tɕu
チェ,,拗,True,tye,che,tɕe
チョ,,拗,,tyo,cho,tɕo
ヂャ,濁,拗,,dya,ja,ʒa
ヂュ,濁,拗,,dyu,ju,ʒu
ヂェ,濁,拗,True,dye,je,ʒe
ヂョ,濁,拗,,dyo,jo,ʒo
テャ,,拗,True,teya,tya,tja
ティ,,,True,tei,ti,tji
テュ,,拗,True,teyu,tyu,tju
テェ,,拗,True,tee,tye,tje
テョ,,拗,True,teyo,tyo,tjo
デャ,濁,拗,True,deya,dya,dja
ディ,濁,,True,dei,di,dji
デュ,濁,拗,True,deyu,dyu,dju
デェ,濁,拗,True,dee,dye,dje
デョ,濁,拗,True,deyo,dyo,djo
ツァ,,,True,tua,tsa,tsa
ツィ,,,True,tui,tsi,tsi
ツェ,,,True,tue,tse,tse
ツォ,,,True,tuo,tso,tso
ツャ,,拗,True,tuya,tsya,tsja
ツュ,,拗,True,tuyu,tsyu,tsju
ツョ,,拗,True,tuyo,tsyo,tsjo
ナ,有声,,,na,na,na
ニ,有声,,,ni,ni,nji
ヌ,有声,,,nu,nu,nu
ネ,有声,,,ne,ne,ne
ノ,有声,,,no,no,no
ニャ,有声,拗,,nya,nya,nja
ニュ,有声,拗,,nyu,nyu,nju
ニェ,有声,拗,True,nye,nye,nje
ニョ,有声,拗,,nyo,nyo,njo
ハ,,,,ha,ha,ha
ヒ,,,,hi,hi,çi
フ,,,,hu,fu,ɸu
ヘ,,,,he,he,he
ホ,,,,ho,ho,ho
バ,濁,,,ba,ba,ba
ビ,濁,,,bi,bi,bji
ブ,濁,,,bu,bu,bu
ベ,濁,,,be,be,be
ボ,濁,,,bo,bo,bo
パ,半濁,,,pa,pa,pa
ピ,半濁,,,pi,pi,pji
プ,半濁,,,pu,pu,pu
ペ,半濁,,,pe,pe,pe
ポ,半濁,,,po,po,po
ヒャ,,拗,,hya,hya,ça
ヒュ,,拗,,hyu,hyu,çu
ヒェ,,拗,True,hye,hye,çe
ヒョ,,拗,,hyo,hyo,ço
ビャ,濁,拗,,bya,bya,bja
ビュ,濁,拗,,byu,byu,bju
ビェ,濁,拗,True,bye,bye,bje
ビョ,濁,拗,,byo,byo,bjo
ピャ,半濁,拗,,pya,pya,pja
ピュ,半濁,拗,,pyu,pyu,pju
ピェ,半濁,拗,True,pye,pye,pje
ピョ,半濁,拗,,pyo,pyo,pjo
ファ,,,True,hua,fa,ɸa
フィ,,,True,hui,fi,ɸi
フェ,,,True,hue,fe,ɸe
フォ,,,True,huo,fo,ɸo
フャ,,拗,True,huya,fya,ɸja
フュ,,拗,True,huyu,fyu,ɸju
